Assignee,verdict,statement_originator,statement,questions to verify the statement,statement_date,context,factchecker,factcheck_date,factcheck_analysis_link,Gold Label,Reasoning
Shayan,FALSE,Donald Trump,"""Unlike the Democrats, who are KILLING SOCIAL SECURITY AND MEDICARE by allowing the INVASION OF THE MIGRANTS, I will NOT, under any circumstance, allow either of these two precious GEMS to be even touched under a Trump Administration. Biden is killing them both with the INVASION, while at the same time destroying our Country!""",,2024-03-21,Post,Washington Post,3/26/2024,https://www.washingtonpost.com/politics/2024/03/26/no-donald-trump-migrants-arent-killing-social-security-medicare/,,
Anissa,FALSE,Alex Jones,“It is a fact that Obama created ISIS.”,x,2024-03-23,Social Media,PolitiFact,3/28/2024,https://www.PolitiFact.com/factchecks/2024/mar/28/alex-jones/alex-jones-claimed-obama-created-isis-thats-pants/,,
Sunny,MOSTLY TRUE,Donna Brazile,"""The current Congress is “the least productive in our lifetime.”",How do you evaluate the productivity of U.S. Congress?,2024-03-24,TV appearence ,PolitiFact,4/3/2024,https://www.PolitiFact.com/factchecks/2024/apr/03/donna-brazile/is-the-current-congress-the-least-productive-of-ou/,,
Ha Yeon ,FALSE,Nicole Shanahan,"""Pharmaceutical medicine has its place, but no single safety study can assess the cumulative impact of one prescription on top of another prescription, and one shot on top of another shot on top of another shot, throughout the course of childhood. We just don’t do that study right now and we ought to. We can and we will. Conditions like autism used to be one in 10,000. Now here in the state of California it is one in 22.""",,2024-03-26,Speech,Washington Post,4/4/2024,https://www.washingtonpost.com/politics/2024/04/04/robert-f-kennedy-jrs-running-mate-vaccine-wars/,,
,TRUE,Mark Pocan,"“We passed 27 bills last year, which is the fewest since the Depression.”",,2024-03-27,,PolitiFact,,https://www.politifact.com/factchecks/2024/apr/17/mark-pocan/yes-in-2023-congress-passed-the-fewest-number-of-b/,,
Ha Yeon ,TRUE,"Facebook, X and other websites ","""Joe Biden graduated 76th academically in a class of 85 students at Syracuse University College of Law in 1968.""",,2024-03-27,Post,Snopes,3/27/2024,https://www.snopes.com/fact-check/biden-graduated-76th-syracuse/,,
Anissa,FALSE,Benny Johnson,"""Video shows “New York Governor Kathy Hochul being denied entry into the wake for slain NYPD officer Jonathan Diller.”",x,2024-03-30,Video,PolitiFact,04/05/2024,https://www.PolitiFact.com/factchecks/2024/apr/05/benny-johnson/no-this-video-doesnt-show-new-york-gov-kathy-hochu/,,
JP,FALSE,Robert F. Kennedy Jr.,"""President Biden is the first candidate in history, the first president in history, that has used the federal agencies to censor political speech ... to censor his opponent.""",,2024-04-01,CNN ,PolitiFact,4/5/2024,https://www.PolitiFact.com/factchecks/2024/apr/05/robert-f-kennedy-jr/rfk-jr-described-biden-as-the-first-president-to-c/,,
Sunny,FALSE,Donald Trump,"""Crime is down in Venezuela by 67% because they're taking their gangs and their criminals and depositing them very nicely into the United States.”",x,2024-04-02,Speech,PolitiFact,4/10/2024,https://www.PolitiFact.com/factchecks/2024/apr/10/donald-trump/donald-trump-exaggerates-venezuelan-crime-drop-and/,,
Shayan,FALSE,Rep. Mark Green (R-Tenn.),"""Have you had to cancel or rethink any upcoming summer trips because of high prices? Don’t worry — your taxpayer dollars will be used to pay for illegal immigrants to fly into a town near you.""",,2024-04-02,Post,Washington Post,4/5/2024,https://www.washingtonpost.com/politics/2024/04/05/taxpayer-dollars-being-used-fly-illegal-aliens-nope/,,
Sunny,FALSE,Instagram Post,"""326,000 migrants were flown to Florida with taxpayer dollars under President Joe Biden’s secret migrant flight program.""","Who pays for the U.S. parole flights from Cuba, Haiti, Nicaragua and Venezuela?",2024-04-04,Social Media,PolitiFact,4/12/2024,https://www.PolitiFact.com/factchecks/2024/apr/12/instagram-posts/migrants-were-not-secretly-flown-to-florida-with-t/,,
Sunny,FALSE,Robert F. Kennedy Jr.,"""On Jan. 6, 2021, U.S. Capitol 'protestors carried no weapons.' """,Did any protestors at the Jan 6 protest carry weapons?,2024-04-05,Written Copy on Website,PolitiFact,04/05/2024,https://www.PolitiFact.com/factchecks/2024/apr/05/robert-f-kennedy-jr/rfk-jr-falsely-said-that-jan-6-protestors-carried/,,
Sunny,MOSTLY FALSE,Joe Biden,"""Speaking of semiconductor industry jobs, ""Know what the average salary is? $110,000. You don't need a college degree.""",x,2024-04-08,Speech,PolitiFact,4/15/2024,https://www.PolitiFact.com/factchecks/2024/apr/15/joe-biden/fact-checking-joe-bidens-claim-on-education-requir/,,
Anissa,MOSTLY TRUE,Joe Biden,"“Support for Roe is higher today in America than it has ever been.""",x,2024-04-08,Facebook Post,PolitiFact,4/10/2024,https://www.PolitiFact.com/factchecks/2024/apr/10/joe-biden/joe-biden-largely-right-about-high-level-of-us-sup/,,
Sunny,MOSTLY TRUE,Joe Biden,"""Starting in 2025 ""no matter what your total bills are for prescription drugs,” Medicare Part D users will never pay “more than $2,000 a year, because some of these cancer drugs are 10(,000 to) 15,000 bucks a year.”",x,2024-04-09,Interview,PolitiFact,4/18/2024,https://www.PolitiFact.com/factchecks/2024/apr/18/joe-biden/bidens-statement-about-capping-prescription-costs/,,
Anissa,FALSE,Donald Trump,"""In Michigan, radical, left Democrat governor Gretchen Whitmer is handing out $500 a month in cash to anyone who accepts illegal aliens into your homes. Isn’t that nice? She’s calling the scam the Newcomer Rental Subsidy. In other words, she’s calling illegal immigrants — many coming from jails, many coming from mental institutions, many are terrorists — she’s calling them newcomers, isn’t that wonderful? And it’s all funded by federal taxpayer dollars distributed by crooked Joe Biden … Biden and Whitmer are selecting and stealing your money to give free housing to illegal alien migrants and then asking you to quarter these foreign armies. And that’s what they are, they’re armies.""",,2024-04-11,Social Media,Washington Post,4/29/2024,https://www.washingtonpost.com/politics/2024/04/29/trump-allies-say-biden-pays-rent-illegals-michigan-not-true/,,
Sunny,FALSE,Threads Post,"""Not even one rocket (from Iran) hit Israel.""",x,2024-04-14,Social Media,PolitiFact,4/15/2024,https://www.PolitiFact.com/factchecks/2024/apr/15/threads-posts/most-of-irans-missiles-were-intercepted-but-some-r/,,
